n_run;individual_gains
1;[79.0000000000002, 79.0000000000002, 79.0000000000002, 79.0000000000002, 79.0000000000002]
10;[68.2000000000003, 66.40000000000032, 68.2000000000003, 66.40000000000032, 68.2000000000003]
2;[72.40000000000026, 72.40000000000026, 72.40000000000026, 73.60000000000025, -30.0]
3;[25.60000000000025, 1.000000000000234, 1.000000000000234, 25.60000000000025, 77.20000000000022]
4;[54.40000000000032, 52.00000000000031, 65.80000000000032, 54.40000000000032, 65.80000000000032]
5;[74.80000000000024, 60.40000000000033, 35.20000000000027, 74.80000000000024, 74.80000000000024]
6;[64.00000000000034, 45.4000000000003, 45.4000000000003, 45.4000000000003, 64.00000000000034]
7;[82.60000000000016, -50.0, 82.60000000000016, -50.0, -50.0]
8;[70.60000000000028, 70.60000000000028, 70.60000000000028, 60.40000000000033, 70.60000000000028]
9;[59.80000000000033, 50.80000000000031, 50.80000000000031, 50.80000000000031, 67.00000000000031]
